f si sl ac k2
1412 7.0 2.559158 7.092766 0.722864
1413 5.0 2.178309 7.203599 0.722973
1414 6.0 2.80592 7.047857 0.723824
1415 7.0 2.031267 7.300269 0.71898
1416 3.0 2.453445 7.337882 0.716297
1417 8.0 2.925466 7.352109 0.719657
1418 6.0 3.098948 7.116165 0.717345
1419 10.0 3.380463 7.246117 0.720159
1420 8.0 2.737245 7.069393 0.719638
1421 9.0 2.808111 6.910118 0.725451
1422 9.0 2.814818 7.150057 0.719053
1423 8.0 2.70583 7.284535 0.718681
1424 7.0 3.384198 7.104748 0.720951
1425 5.0 2.992108 7.370059 0.720572
1426 5.0 3.470063 7.261939 0.717694
1427 7.0 3.079012 7.219557 0.717089
1428 8.0 2.651051 7.239208 0.718878
1429 6.0 2.175338 6.839953 0.72017
1430 7.0 3.045636 6.705881 0.720813
1431 4.0 3.18503 6.83587 0.720882
1432 10.0 3.182975 6.966129 0.724441
1433 9.0 2.982727 6.686331 0.7264
1434 9.0 3.158403 6.838199 0.727454
1435 8.0 3.139777 6.958259 0.727291
1436 10.0 3.92726 6.640337 0.725848
1437 11.0 3.81683 6.708044 0.726543
1438 11.0 3.113934 7.226552 0.720043
1439 8.0 3.068016 7.109123 0.723317
1440 8.0 3.498693 7.138959 0.717332
1441 7.0 2.931387 7.072608 0.725637
1442 11.0 2.864062 7.163642 0.719988
1443 11.0 3.241013 7.251457 0.723006
1444 11.0 3.115778 7.464892 0.71949
1445 9.0 3.274806 7.663001 0.715762
1446 8.0 2.617247 7.946712 0.713487
1447 8.0 3.272003 7.766178 0.718254
1448 5.0 3.188706 7.837615 0.717325
1449 8.0 3.634306 8.00729 0.717435
1450 9.0 3.224796 7.725355 0.720174
1451 10.0 3.568742 7.791877 0.720942
1452 7.0 3.814498 7.494859 0.722449
1453 6.0 3.315904 7.377497 0.721401
1454 7.0 2.81997 7.360288 0.729313
1455 6.0 3.278581 7.548369 0.729682
1456 6.0 3.453753 7.65825 0.722871
1457 9.0 3.597106 7.700488 0.71974
1458 5.0 3.521001 7.287491 0.718372
1459 4.0 3.898227 7.381379 0.715744
1460 5.0 3.135397 7.460153 0.716272
1461 6.0 3.268299 7.503027 0.717063
1462 7.0 3.717934 7.511424 0.716588
1463 5.0 3.366666 7.767322 0.711351
1464 4.0 3.083871 7.662599 0.708419
1465 3.0 3.305672 7.644464 0.713513
1466 4.0 2.950585 8.152691 0.713304
1467 5.0 3.231172 8.206183 0.710723
1468 6.0 2.922016 8.301748 0.705255
1469 8.0 2.778648 8.072351 0.707775
1470 6.0 3.141943 8.132629 0.710771
1471 5.0 2.582425 8.445845 0.70626
1472 6.0 3.039682 8.194826 0.711617
1473 6.0 3.394869 8.292028 0.713348
1474 5.0 2.741168 8.349238 0.707846
1475 4.0 2.686165 8.324623 0.710383
1476 7.0 2.913074 8.484744 0.709838
1477 6.0 2.909845 8.411315 0.714083
1478 4.0 2.600174 8.307468 0.713938
1479 6.0 2.924251 8.175939 0.712207
1480 7.0 2.89381 8.151555 0.717048
1481 6.0 2.734985 8.222401 0.714236
1482 3.0 3.422348 8.216919 0.716767
1483 8.0 3.627871 8.50038 0.710358
1484 7.0 3.067613 8.686476 0.710101
1485 9.0 2.95469 8.805976 0.710358
1486 8.0 2.921907 8.645071 0.706174
1487 8.0 2.921272 8.719072 0.702312
1488 7.0 2.792994 8.427856 0.706385
1489 4.0 2.534289 8.458344 0.704198
1490 5.0 2.562826 8.284542 0.70421
1491 8.0 2.840224 8.11715 0.705437
1492 7.0 3.491153 8.04917 0.70708
1493 11.0 2.598426 8.088303 0.70524
1494 9.0 3.186955 8.178641 0.705674
1495 10.0 2.762867 8.259915 0.70561
1496 6.0 3.579782 8.443076 0.705065
1497 7.0 3.272803 8.145405 0.711657
1498 6.0 3.459326 8.27572 0.700851
1499 8.0 3.422513 8.219759 0.703877
1500 8.0 2.96263 8.531151 0.705639
1501 7.0 2.819414 8.656657 0.702731
1502 6.0 3.718921 8.993897 0.701423
1503 6.0 3.472192 8.533575 0.706651
1504 6.0 3.29019 8.415998 0.708366
1505 7.0 4.118759 8.826338 0.705371
1506 8.0 3.319231 8.725326 0.706978
1507 5.0 3.450341 8.556875 0.706533
1508 7.0 3.144781 8.531326 0.710545
1509 6.0 2.866149 8.532775 0.707069
1510 6.0 3.35573 8.507872 0.707721
1511 2.0 3.853662 8.476699 0.706788
1512 6.0 3.290273 8.456928 0.706363
1513 3.0 2.689042 8.711769 0.702808
1514 4.0 3.063266 8.781114 0.701419
1515 8.0 3.853754 8.329276 0.706789
1516 5.0 3.235428 8.184898 0.709049
1517 7.0 3.327541 8.381216 0.709347
1518 6.0 3.025604 8.493879 0.708658
1519 10.0 3.11592 8.138309 0.707784
1520 9.0 2.672807 8.204007 0.70856
1521 10.0 3.002434 8.421967 0.711781
1522 6.0 2.830791 8.481686 0.703311
1523 5.0 2.850231 8.220668 0.707066
1524 5.0 2.881472 8.24223 0.7057
1525 8.0 2.653964 7.887011 0.706463
1526 6.0 3.245808 7.998023 0.701182
1527 9.0 2.684826 7.853436 0.700706
1528 9.0 2.634772 7.719141 0.702961
1529 9.0 2.944391 7.703581 0.705809
1530 10.0 3.260723 7.660238 0.707512
1531 9.0 2.736996 7.447346 0.709792
1532 10.0 3.257058 7.590085 0.708559
1533 8.0 2.43476 7.346261 0.713442
1534 9.0 2.737848 7.430584 0.713385
1535 7.0 3.129715 7.387509 0.713251
1536 10.0 3.206599 7.221907 0.710406
1537 6.0 2.966788 7.280404 0.712852
1538 10.0 2.72227 7.196617 0.711156
1539 6.0 3.082004 7.307037 0.710164
1540 8.0 3.043226 7.402965 0.711952
1541 9.0 3.237306 7.510363 0.71221
1542 7.0 2.944345 7.491286 0.705422
1543 11.0 2.910474 7.540753 0.703696
1544 9.0 3.462547 7.452286 0.696646
1545 8.0 3.003187 7.916691 0.692867
1546 8.0 3.602837 7.589119 0.693505
1547 9.0 3.141706 7.29612 0.696293
1548 7.0 3.21102 7.618189 0.696181
1549 9.0 3.402282 7.156773 0.702151
1550 9.0 3.612164 7.449681 0.698022
1551 8.0 3.075861 7.463378 0.700325
1552 7.0 3.558698 6.976298 0.704417
1553 10.0 4.028627 7.297878 0.704521
1554 7.0 4.501855 7.474687 0.704458
1555 7.0 3.421034 7.190579 0.705469
1556 6.0 4.019714 7.288531 0.704252
1557 6.0 3.483491 7.765529 0.697437
1558 6.0 3.907395 7.603701 0.699869
1559 7.0 3.335147 7.348418 0.701889
1560 9.0 4.388471 7.340548 0.708179
1561 8.0 3.492758 7.430686 0.707264
1562 8.0 3.883671 7.41686 0.707602
1563 7.0 3.519442 7.565878 0.705919
1564 7.0 3.400459 7.512905 0.703592
1565 8.0 4.048711 7.681729 0.707831
1566 7.0 3.186868 7.613535 0.704472
1567 8.0 2.771147 7.693497 0.703736
1568 7.0 3.127576 7.463205 0.701755
1569 6.0 2.68509 7.399568 0.694856
1570 8.0 3.375456 7.505257 0.696709
1571 9.0 3.852888 7.18354 0.702927
1572 9.0 3.630693 7.157048 0.695798
1573 9.0 3.398372 7.584796 0.701757
1574 10.0 3.538795 7.502577 0.699181
1575 7.0 3.019937 7.547911 0.699404
1576 9.0 2.986004 7.542099 0.695667
1577 9.0 3.894926 7.274618 0.700256
1578 7.0 3.856661 7.304839 0.701937
1579 9.0 3.976272 7.820813 0.69789
1580 7.0 3.645245 8.049905 0.697819
1581 9.0 3.144199 8.148239 0.696623
1582 9.0 3.635213 8.068128 0.698572
1583 7.0 4.02478 8.257509 0.698044
1584 10.0 3.554516 8.363903 0.701637
1585 10.0 4.108102 8.426891 0.698187
1586 10.0 4.323598 8.460214 0.702396
1587 9.0 4.07845 8.682108 0.697959
1588 9.0 3.342615 8.203038 0.701772
1589 7.0 2.960058 8.350517 0.700474
1590 7.0 3.425408 8.478715 0.69981
1591 9.0 3.153098 8.313039 0.705091
1592 9.0 3.620644 8.271065 0.699716
1593 7.0 3.356352 8.299273 0.704336
1594 7.0 2.757811 8.511608 0.698824
1595 8.0 3.166897 8.567762 0.697703
1596 9.0 3.25657 8.51213 0.70131
1597 9.0 3.417179 8.502378 0.699423
1598 8.0 3.568868 8.211153 0.704413
1599 9.0 3.503802 8.313154 0.702336
1600 10.0 3.120084 8.369736 0.704471
1601 10.0 3.189179 8.3705 0.709381
1602 8.0 2.911666 8.331864 0.709967
1603 6.0 2.950409 8.581844 0.700624
1604 5.0 2.427916 8.542299 0.707546
1605 6.0 2.33539 8.455747 0.7092
1606 6.0 2.833056 8.434608 0.709771
1607 9.0 2.848299 8.460743 0.706096
1608 8.0 2.877921 8.246197 0.711287
1609 9.0 2.544914 7.938086 0.715985
1610 10.0 2.994888 7.706862 0.714673
1611 11.0 3.58758 7.711992 0.71108
1612 8.0 2.771059 7.968088 0.703211
1613 8.0 3.0111 7.901205 0.708686
1614 8.0 3.208933 7.660876 0.71134
1615 9.0 2.641411 7.763639 0.715095
1616 9.0 3.114206 8.193473 0.7095
1617 11.0 2.999587 8.050592 0.711358
1618 8.0 2.903434 8.209241 0.712528
1619 11.0 3.790626 7.899754 0.716898
1620 9.0 3.306224 7.877651 0.713192
1621 10.0 3.100313 7.824896 0.711234
1622 7.0 3.506787 7.664087 0.712171
1623 5.0 3.168107 7.743692 0.712421
1624 10.0 2.573135 7.948211 0.711042
1625 9.0 3.741368 7.73217 0.71406
1626 8.0 3.596114 7.747931 0.713928
1627 5.0 3.483223 7.699982 0.715313
1628 5.0 3.242467 7.19564 0.717909
1629 8.0 3.426614 7.428029 0.713097
1630 6.0 3.132395 7.386743 0.717416
1631 5.0 2.791731 7.388997 0.713758
1632 7.0 3.227504 7.603411 0.71651
1633 7.0 2.885524 7.868158 0.70906
1634 8.0 2.926245 8.017514 0.707341
1635 9.0 2.631404 7.995893 0.71011
1636 9.0 4.105316 7.824096 0.712406
1637 10.0 3.228343 7.97659 0.711538
1638 10.0 3.694845 7.875866 0.71564
1639 10.0 3.483957 7.596241 0.716956
1640 11.0 3.38593 7.828099 0.711893
1641 7.0 2.533205 7.861924 0.718145
1642 8.0 3.437304 7.590564 0.719023
1643 8.0 2.703341 7.835091 0.711273
1644 9.0 2.533113 7.625859 0.718909
1645 11.0 2.726276 7.542168 0.718908
1646 9.0 3.242264 7.548275 0.720566
1647 9.0 3.35127 7.663843 0.721112
1648 9.0 3.211555 7.683125 0.715963
1649 12.0 3.531181 7.468827 0.718985
1650 7.0 3.250397 7.654207 0.714711
1651 11.0 3.318009 7.724506 0.713779
1652 12.0 2.912154 7.554113 0.715302
1653 12.0 3.51716 7.64743 0.710459
1654 6.0 2.585687 7.523186 0.706872
1655 10.0 2.812426 7.417738 0.71379
1656 12.0 2.828557 7.739987 0.710548
1657 11.0 3.588282 7.588897 0.712074
1658 10.0 3.073663 8.024454 0.704857
1659 10.0 2.641251 7.901832 0.707361
1660 9.0 3.254843 7.732481 0.699464
1661 13.0 3.018365 7.84928 0.699476
1662 11.0 3.062887 7.606808 0.705039
1663 9.0 2.684856 7.77957 0.706999
1664 11.0 2.617872 7.689546 0.707977
1665 11.0 3.388448 7.742968 0.715516
1666 11.0 2.519738 7.858159 0.712591
1667 12.0 2.831394 7.993684 0.710866
1668 11.0 2.380203 8.210703 0.704579
1669 9.0 2.428138 8.070886 0.708807
1670 12.0 2.862498 8.181366 0.701817
1671 10.0 2.641578 8.229711 0.699093
1672 9.0 2.663239 8.167275 0.702874
1673 10.0 2.902478 8.078841 0.706009
1674 8.0 2.927307 8.257663 0.708979
1675 8.0 3.189191 8.324572 0.704712
1676 7.0 3.104577 8.013363 0.705834
1677 11.0 3.374877 8.03563 0.709986
1678 8.0 2.534951 7.925079 0.710118
1679 8.0 3.327654 8.047508 0.705522
1680 7.0 3.302173 7.957497 0.702692
1681 10.0 2.912609 8.012359 0.694156
1682 5.0 3.30911 7.938248 0.69901
1683 9.0 3.01846 7.95458 0.702979
1684 7.0 2.729062 8.02797 0.705784
1685 9.0 3.48585 8.068502 0.703722
1686 5.0 3.016624 7.866962 0.698972
1687 9.0 3.117973 7.975195 0.704128
1688 10.0 2.517406 8.079242 0.701611
1689 10.0 3.188988 7.899889 0.700692
1690 9.0 3.162691 7.657286 0.703611
1691 12.0 3.20884 7.753574 0.709231
1692 10.0 2.988507 7.494018 0.707564
1693 11.0 3.556504 7.725884 0.708838
1694 10.0 3.321541 7.878749 0.704603
1695 8.0 3.057643 7.587613 0.706452
1696 9.0 2.512551 7.012315 0.71418
1697 10.0 2.589899 7.395468 0.71371
1698 11.0 3.042076 7.011852 0.709164
1699 7.0 3.181633 7.189196 0.710331
1700 7.0 2.341931 7.226455 0.706973
1701 11.0 3.207857 6.84209 0.704884
1702 13.0 3.118945 7.189547 0.707225
1703 11.0 2.972371 7.368182 0.708665
1704 10.0 3.383248 7.173554 0.705166
1705 10.0 2.487467 7.317329 0.704931
1706 10.0 3.27435 7.517285 0.707935
1707 8.0 3.001633 7.670966 0.707561
1708 9.0 3.086135 8.010052 0.698583
1709 8.0 2.376297 7.757581 0.69339
1710 11.0 3.121081 7.835542 0.701133
1711 9.0 2.992843 7.867312 0.696853
1712 9.0 3.028122 7.954551 0.695975
1713 8.0 2.955707 7.900254 0.698615
1714 6.0 2.72568 8.384524 0.695734
1715 7.0 2.925197 8.117484 0.698968
1716 11.0 2.936882 7.977473 0.699844
1717 7.0 3.162834 7.808599 0.700075
1718 9.0 3.543051 7.884392 0.696338
1719 8.0 3.068811 8.073144 0.696132
1720 12.0 2.647473 8.183375 0.694985
1721 11.0 2.755794 8.128928 0.692733
1722 12.0 2.805744 8.01755 0.696392
1723 13.0 3.230797 7.989037 0.698662
1724 10.0 2.718304 7.831964 0.696069
1725 11.0 2.411749 7.840251 0.701485
1726 12.0 3.508042 8.049296 0.694702
1727 11.0 3.063288 7.679595 0.701451
1728 8.0 3.534503 7.728756 0.703162
1729 9.0 3.270872 7.527779 0.703209
1730 8.0 2.42009 7.455343 0.702688
1731 8.0 2.967715 7.578958 0.707568
1732 7.0 3.140136 7.579538 0.704053
1733 9.0 2.836727 7.736542 0.702609
1734 9.0 2.63535 7.854549 0.704244
1735 10.0 2.66758 7.444291 0.710644
1736 7.0 3.01951 7.97278 0.702084
1737 9.0 3.323478 7.876476 0.710603
1738 10.0 3.007508 8.085104 0.708585
1739 11.0 2.855015 8.152172 0.702626
1740 10.0 3.722339 8.056177 0.706261
1741 9.0 3.789076 7.69842 0.709982
1742 8.0 3.537689 7.821436 0.712651
1743 8.0 4.486678 7.671265 0.711443
1744 8.0 3.570263 7.128126 0.717236
1745 7.0 4.01012 7.273364 0.708346
1746 10.0 3.494565 7.288402 0.710021
1747 9.0 4.081429 7.063939 0.713118
1748 9.0 4.016383 7.068221 0.718855
1749 11.0 4.057098 6.959288 0.716767
1750 10.0 3.279302 7.090939 0.713786
1751 8.0 3.845042 6.996727 0.713294
1752 8.0 3.046041 6.825216 0.712709
1753 9.0 4.14377 6.517797 0.717964
1754 9.0 3.565638 6.694214 0.712786
1755 11.0 3.370242 6.722189 0.714551
1756 10.0 3.355519 6.916908 0.713284
1757 6.0 3.877242 7.047142 0.711576
1758 12.0 3.768623 7.01667 0.709148
1759 9.0 3.894863 7.027838 0.717744
1760 11.0 2.748948 7.2213 0.717433
1761 6.0 2.994589 7.020711 0.711133
1762 11.0 2.609046 6.876861 0.71403
1763 9.0 2.851542 6.665562 0.714556
1764 10.0 3.090097 6.420757 0.718064
1765 13.0 4.374342 6.379943 0.715182
1766 13.0 4.369215 6.501842 0.718062
1767 10.0 3.166317 6.395174 0.716605
1768 8.0 3.865777 6.080145 0.71582
1769 9.0 3.170082 6.212566 0.719597
1770 8.0 3.193001 6.06266 0.714728
1771 11.0 2.578417 5.751986 0.716547
1772 11.0 3.296728 5.840576 0.717702
1773 9.0 3.633537 5.958173 0.719318
1774 8.0 2.836266 5.700181 0.715319
1775 8.0 4.599746 5.759905 0.708922
1776 13.0 2.969919 5.402847 0.713457
1777 12.0 3.341658 5.5626 0.708524
1778 10.0 3.413154 5.709048 0.702792
1779 12.0 3.60405 6.044088 0.703512
1780 13.0 2.936736 5.700582 0.69907
1781 11.0 3.35972 5.25963 0.702798
1782 9.0 3.785301 5.436658 0.707985
1783 5.0 2.882692 5.387615 0.706779
1784 10.0 3.245313 5.245618 0.705083
1785 8.0 3.302877 5.176369 0.7063
1786 7.0 3.724361 5.282214 0.710462
1787 9.0 2.921602 5.881583 0.710117
1788 11.0 3.216417 5.664495 0.709729
1789 8.0 2.918524 5.506304 0.709203
1790 9.0 3.233349 5.645913 0.712934
1791 10.0 3.496483 5.786288 0.717908
1792 9.0 3.771172 6.110343 0.714573
1793 9.0 2.501768 5.677018 0.71787
1794 10.0 3.351229 5.349005 0.722024
1795 9.0 3.366993 5.376922 0.713574
1796 11.0 3.394838 5.484226 0.717993
1797 8.0 3.181863 5.31515 0.720769
1798 12.0 2.448261 5.35576 0.714399
1799 10.0 3.234069 5.359028 0.708452
1800 10.0 3.209327 6.146169 0.711912
1801 11.0 3.56772 5.833776 0.716277
1802 8.0 4.22481 5.488034 0.714687
1803 10.0 3.909694 5.538272 0.716305
1804 10.0 3.153854 5.266328 0.713938
1805 12.0 3.990974 5.458187 0.715236
1806 7.0 3.32684 5.276144 0.717941
1807 9.0 3.700391 5.389134 0.712599
1808 10.0 3.593462 5.557918 0.716389
1809 9.0 4.117409 5.234975 0.71683
1810 8.0 3.847626 5.500413 0.718463
1811 8.0 3.992748 5.44692 0.718482
1812 10.0 4.449234 5.413073 0.724197
1813 10.0 3.240864 5.243253 0.725587
1814 12.0 3.467035 5.249117 0.728442
1815 11.0 3.19816 5.320488 0.727884
1816 11.0 3.60862 5.595631 0.728036
1817 10.0 3.551935 5.107235 0.725782
1818 12.0 3.055733 5.268011 0.727409
1819 13.0 3.456789 5.507373 0.727265
1820 14.0 2.895118 5.512815 0.726297
1821 11.0 3.858787 5.604302 0.728384
1822 10.0 4.025741 5.666301 0.720633
1823 11.0 3.315758 5.895588 0.720239
1824 11.0 3.163453 6.152477 0.720012
1825 10.0 3.780647 6.411563 0.716776
1826 13.0 3.645325 6.734463 0.717549
1827 13.0 3.501786 6.497544 0.717777
1828 12.0 3.088135 6.381347 0.720111
1829 11.0 3.287782 6.166229 0.716764
1830 10.0 3.1645 6.445332 0.71777
1831 9.0 3.939362 6.182731 0.718031
1832 9.0 4.04826 6.311967 0.717012
1833 9.0 3.545098 6.249099 0.717873
1834 8.0 3.53788 6.129545 0.716941
1835 11.0 3.881626 6.062517 0.721596
1836 10.0 3.882954 6.419111 0.721645
1837 10.0 3.339028 6.449588 0.72015
1838 11.0 3.912104 6.505951 0.724144
1839 14.0 3.38771 6.536498 0.723141
1840 8.0 3.303542 6.849939 0.720994
1841 11.0 3.80322 6.73302 0.715847
1842 9.0 3.627463 6.742591 0.716058
1843 9.0 4.095139 6.680439 0.714912
1844 11.0 4.083342 6.915118 0.714968
1845 10.0 3.74956 6.668446 0.712602
1846 9.0 3.299168 6.787807 0.720053
1847 12.0 3.28896 7.065754 0.720324
1848 14.0 3.09499 7.035766 0.722584
1849 12.0 3.618851 7.194212 0.721556
1850 12.0 2.963843 7.060011 0.71696
1851 11.0 3.364413 6.963304 0.720168
1852 11.0 3.057343 7.211052 0.719889
1853 12.0 3.070912 7.07955 0.720138
1854 9.0 3.257647 7.444154 0.720826
1855 10.0 3.163912 7.444473 0.717045
1856 12.0 2.865985 7.68662 0.715037
1857 14.0 3.247851 7.819698 0.717679
1858 13.0 3.162531 7.498435 0.723091
1859 12.0 3.155019 7.420465 0.72694
1860 10.0 2.502105 7.531102 0.722919
1861 12.0 3.265051 7.332673 0.724922
1862 12.0 4.225572 7.53579 0.725689
1863 10.0 3.343986 7.549976 0.718638
1864 11.0 3.83966 7.269209 0.719737
1865 10.0 3.36788 7.633709 0.71799
1866 11.0 3.082412 7.269105 0.722691
1867 11.0 3.314694 7.195536 0.72371
1868 9.0 3.917076 7.346921 0.718504
1869 10.0 3.967096 7.301979 0.72206
1870 6.0 3.538801 7.116085 0.720573
1871 7.0 3.445207 6.826964 0.725114
1872 9.0 3.285572 6.841684 0.722833
1873 10.0 3.600207 6.708068 0.723922
1874 9.0 3.440292 6.738158 0.724682
1875 7.0 3.363897 6.866576 0.729558
1876 8.0 3.313276 6.74818 0.727861
1877 8.0 3.374634 6.677403 0.726889
1878 12.0 3.368512 6.814111 0.729535
1879 8.0 3.499214 6.726514 0.730298
1880 12.0 3.4146 6.533954 0.729273
1881 7.0 3.220195 6.995995 0.720929
1882 8.0 3.02829 7.32745 0.727563
1883 6.0 3.022904 7.176546 0.722636
1884 7.0 3.233026 7.021603 0.729585
1885 8.0 3.834233 6.644291 0.726918
1886 8.0 3.520121 7.011607 0.726206
1887 9.0 3.445508 6.655067 0.722046
1888 7.0 3.829594 6.757634 0.727024
1889 9.0 3.640549 6.610429 0.724861
1890 6.0 3.628468 6.221793 0.726758
1891 7.0 3.863973 6.094651 0.726752
1892 8.0 3.200133 6.165185 0.721739
1893 7.0 3.166173 6.285004 0.723471
1894 7.0 3.203103 6.127025 0.719722
1895 9.0 3.480242 6.32329 0.720102
1896 7.0 3.039935 6.135942 0.721223
1897 9.0 3.302108 6.449125 0.71844
1898 11.0 3.424921 6.505259 0.722562
1899 13.0 3.368227 6.778678 0.718386
1900 10.0 3.375887 6.619513 0.719152
1901 7.0 4.238668 6.946539 0.721668
1902 9.0 4.222051 6.812718 0.721875
1903 7.0 4.076776 6.638543 0.71703
1904 7.0 3.971222 6.610054 0.722551
1905 9.0 3.261156 6.507746 0.726911
1906 7.0 3.211331 5.951575 0.72659
1907 9.0 3.863614 6.117046 0.725836
1908 7.0 3.383261 5.567899 0.73053
1909 8.0 3.633799 5.279882 0.730641
1910 8.0 3.913384 5.734501 0.726592
1911 8.0 3.574781 5.765338 0.727283
1912 9.0 3.423869 6.125988 0.728258
1913 9.0 4.067511 6.300704 0.719957
1914 8.0 3.063594 6.287386 0.728334
1915 8.0 3.503967 6.344285 0.725777
1916 10.0 3.509454 6.476376 0.724545
1917 13.0 4.085281 6.433955 0.727815
1918 10.0 3.498071 6.421214 0.723656
1919 11.0 3.908156 6.589123 0.721271
1920 10.0 3.363291 6.478358 0.723085
1921 10.0 3.53496 6.729668 0.7166
1922 8.0 3.847842 6.779989 0.721206
1923 8.0 3.496822 6.806888 0.720954
1924 7.0 3.630189 6.641489 0.718089
1925 9.0 3.200509 6.941816 0.718852
1926 10.0 3.380341 6.592246 0.713387
1927 7.0 3.694075 6.541735 0.718166
1928 11.0 3.489715 6.74357 0.717568
1929 10.0 4.300809 6.779793 0.71608
1930 9.0 4.612617 6.855312 0.714826
1931 8.0 3.659059 7.115288 0.717843
1932 9.0 4.664318 6.674279 0.718197
1933 10.0 4.304353 6.635499 0.713933
1934 8.0 3.938325 6.805491 0.712006
1935 7.0 3.814753 6.602411 0.713492
1936 9.0 3.756521 7.022461 0.717942
1937 9.0 3.754739 6.771239 0.716833
1938 7.0 3.445487 6.738142 0.712357
1939 7.0 3.669341 6.681613 0.713259
1940 11.0 3.919997 6.869336 0.715508
1941 12.0 3.445121 6.835833 0.715951
1942 13.0 3.100612 6.651149 0.715805
1943 7.0 3.564407 6.963622 0.706434
1944 9.0 3.371877 6.969585 0.708963
1945 6.0 2.824892 6.812236 0.711704
1946 6.0 3.508759 6.42461 0.721275
1947 8.0 2.784901 6.522 0.715505
1948 10.0 3.338141 6.593546 0.722404
1949 11.0 3.695002 6.414939 0.722916
1950 8.0 2.376242 6.675721 0.718739
1951 8.0 3.992927 6.495582 0.719019
1952 11.0 3.335545 6.214322 0.717302
1953 10.0 3.492461 6.051403 0.719991
1954 11.0 3.368576 6.098602 0.715323
1955 9.0 3.394858 6.273436 0.716685
1956 11.0 3.550823 6.084163 0.714664
1957 14.0 3.033162 6.120681 0.715633
1958 9.0 3.811443 6.427468 0.714603
1959 12.0 3.449484 5.8995 0.715289
1960 14.0 3.221922 5.999478 0.711184
1961 10.0 3.81837 6.281548 0.714163
1962 10.0 2.913808 6.257545 0.714321
1963 9.0 3.999483 6.121969 0.717432
1964 12.0 3.438457 6.221946 0.713595
1965 9.0 3.79779 6.160277 0.70537
1966 9.0 4.102336 5.888656 0.71452
1967 12.0 4.475399 6.328404 0.71018
1968 10.0 4.349505 6.267579 0.710345
1969 10.0 3.445044 6.212076 0.707327
1970 10.0 4.272645 6.357081 0.716066
1971 8.0 3.769277 6.124355 0.721404
1972 10.0 4.414225 6.11677 0.716374
1973 7.0 3.666242 6.134031 0.709024
1974 8.0 3.848273 6.50223 0.710259
1975 7.0 3.872129 6.578433 0.707198
1976 8.0 3.150214 6.31872 0.709746
1977 6.0 3.769488 6.586498 0.711852
1978 6.0 3.70214 6.097947 0.71574
1979 10.0 3.89535 6.422902 0.715922
1980 7.0 3.546204 6.533961 0.71174
1981 8.0 3.173109 6.319667 0.710651
1982 7.0 3.558998 6.570001 0.706384
1983 7.0 3.317282 6.342142 0.713299
1984 11.0 3.410769 6.1948 0.716353
1985 9.0 3.663943 6.281592 0.713102
1986 10.0 3.221856 6.358754 0.715626
1987 11.0 2.9306 5.977262 0.72055
1988 7.0 3.409916 5.980582 0.717595
1989 11.0 3.722699 5.959819 0.722861
1990 10.0 3.390771 6.102936 0.721666
1991 9.0 3.546719 6.077362 0.719385
1992 8.0 2.937419 6.240266 0.715412
1993 10.0 2.826829 6.17857 0.709623
1994 13.0 3.46654 6.296787 0.715878
1995 6.0 3.439359 6.316521 0.715605
1996 8.0 3.057602 6.424964 0.716959
1997 7.0 3.221409 6.44454 0.717659
1998 7.0 3.477886 6.6304 0.717497
1999 8.0 2.979098 6.620018 0.716642
2000 9.0 4.290631 6.715443 0.721549
2001 12.0 3.827073 6.457209 0.724265
2002 12.0 2.952745 6.58175 0.728182
2003 12.0 3.435715 6.19395 0.728929
2004 12.0 4.235245 6.54304 0.725704
2005 14.0 3.734588 6.504851 0.728259
2006 12.0 3.124218 6.179243 0.730808
2007 13.0 3.843074 6.120895 0.726328
2008 13.0 3.843404 6.102137 0.72583
2009 14.0 3.562911 6.135069 0.725421
2010 13.0 3.666395 5.951491 0.726466
2011 13.0 3.046942 6.236059 0.724401
2012 9.0 3.272862 6.696725 0.716956
2013 10.0 3.245119 6.601883 0.723432
2014 8.0 2.952812 6.791047 0.721637
2015 12.0 2.79137 6.729274 0.725022
2016 8.0 3.380456 6.749589 0.720342
2017 13.0 3.373701 7.025853 0.720167
2018 13.0 3.621145 7.10828 0.717706
2019 11.0 3.843314 7.13894 0.722725
2020 10.0 3.304843 6.993221 0.712046
2021 12.0 2.934257 6.980519 0.719
2022 8.0 2.927778 6.763074 0.720125
2023 14.0 3.551627 6.907209 0.721764
2024 9.0 3.480072 7.009022 0.71881
2025 9.0 3.223875 6.89853 0.724078
2026 5.0 3.48123 6.673504 0.731165
2027 7.0 3.03178 6.721185 0.722054
2028 7.0 3.289573 7.039769 0.723435
2029 9.0 3.182906 6.870661 0.7238
2030 10.0 3.54363 6.724875 0.725251
2031 11.0 2.700636 6.788843 0.727307
2032 14.0 2.992423 6.832529 0.72278
2033 9.0 3.135439 6.699931 0.722644
2034 12.0 3.335149 7.035431 0.727382
2035 10.0 3.054941 6.76911 0.722158
2036 10.0 3.411746 6.920431 0.720467
2037 8.0 3.63556 6.986731 0.712722
2038 8.0 3.741401 7.240781 0.712443
2039 7.0 3.652967 7.036357 0.713327
2040 9.0 2.94346 6.762049 0.721558
2041 9.0 3.008567 6.751075 0.723368
2042 14.0 3.078879 6.717178 0.722332
2043 11.0 2.650178 6.981357 0.721085
2044 11.0 3.412943 7.118683 0.719
2045 7.0 2.90611 6.87475 0.727154
2046 9.0 3.113159 7.043869 0.726428
2047 10.0 3.198809 6.91877 0.727839
